CNPJ	DATA_REF	CS_ALVO
11507110000160	2016-10	0
15062189000114	2016-07	0
5841171000167	2016-08	0
8792807000116	2016-08	0
24060073000137	2017-01	1
76610088000397	2017-01	0
25303891000186	2016-10	0
4142796000178	2017-05	0
73698367000102	2017-02	0
19998493000129	2017-06	0
2677993000166	2016-10	0
4559992000142	2016-08	0
3028858000152	2017-05	1
80476278000179	2017-04	0
16883383000123	2016-08	0
25017475000111	2016-08	1
18294361000153	2017-05	0
21028312000264	2016-11	1
22891786000117	2017-02	0
13782604000189	2016-09	0
25297755000120	2017-03	0
12508207000150	2017-05	0
17523827000182	2017-05	0
13804237000177	2017-04	0
18864171000124	2016-09	0
27165398000172	2017-05	0
12075960000108	2016-08	0
12329549000103	2017-04	1
4531936000108	2016-08	1
8098681000184	2016-12	0
19469617000260	2016-12	0
9481264000189	2016-09	1
4979371000118	2017-02	0
15914459000178	2016-09	0
9247265000163	2016-10	0
14211325000128	2017-01	0
14488669000189	2017-04	1
4807463000110	2016-08	0
44378875000105	2016-08	0
11607339000177	2017-04	0
8957000000196	2016-08	0
666260000109	2016-12	0
5701587000180	2017-03	0
5567164000119	2016-11	1
13746749000124	2017-03	1
17408121000170	2017-06	0
10561367000138	2016-11	0
24917721000129	2016-11	0
9422960000114	2017-06	0
18125595000177	2017-04	0
22114412000195	2016-10	0
81783946000173	2016-12	1
66749870000176	2016-12	0
24339439000101	2017-01	0
5658183000150	2016-10	0
17938320000190	2017-05	0
22771648000102	2017-02	0
21863579000196	2017-06	0
4117534000153	2016-10	1
23389855000151	2016-09	0
2265661000174	2017-02	0
2269506000126	2016-08	0
26650145000121	2017-02	0
10938246000162	2017-05	1
5772985000197	2017-01	0
14100562000111	2017-01	0
14279123000118	2016-10	0
7124517000131	2017-06	0
10538161000197	2016-09	1
22115900000117	2017-06	0
9473933000170	2017-05	1
10267256000113	2016-09	0
7576517000172	2017-04	1
5011020000181	2016-12	0
10459619000112	2017-02	0
56079171000102	2016-08	0
8822247000103	2017-05	1
94554037000105	2016-12	0
8183259000127	2017-05	0
1422664000101	2017-04	1
22556082000198	2016-07	0
3310680000138	2016-11	1
15727244000148	2016-12	0
32259178000148	2016-11	0
17590698000145	2017-05	0
53789442000125	2016-07	0
19239930000120	2017-04	0
12037089000140	2017-04	1
10702704000160	2017-02	0
5553956000134	2017-04	1
3999829000138	2016-08	0
1635718000117	2017-02	0
16656758000112	2017-02	0
68772599000115	2016-07	0
4447880000108	2017-01	0
37985223000165	2017-04	0
14223844000106	2016-07	0
9578851000190	2017-01	0
27041649000107	2017-06	0
8017601000461	2016-12	0
21578660000124	2017-04	0
3293114000165	2016-08	0
17689012000178	2017-02	0
7330542000171	2016-09	0
9093853000190	2017-03	1
6342948000101	2016-08	0
7011919000120	2016-10	0
18199343000192	2017-03	1
33330796000108	2017-03	0
26635515000151	2017-03	0
10297635000156	2016-08	1
12081273000197	2017-05	0
26564074000144	2017-03	1
12607971000183	2017-05	0
26554145000128	2016-08	0
2480828000110	2016-11	0
22141533000126	2017-04	0
3031508000145	2017-01	0
5276794000134	2017-02	0
23630871000194	2016-11	0
79662003000140	2017-02	0
20585896000125	2016-10	0
8069539000109	2017-01	0
19077335000136	2017-02	1
4309109000166	2016-10	0
3283834000140	2016-09	0
15401249000186	2017-01	1
26394003000140	2016-11	0
21514502000100	2016-09	0
24168501000140	2017-03	0
22642736000104	2016-08	0
13056752000116	2016-09	0
5619857000108	2017-01	0
22783021000163	2016-12	0
57460594000130	2017-04	0
23766643000146	2017-02	0
62773494000102	2016-11	0
33243809000101	2016-12	0
2165530000115	2016-10	0
12270224000283	2016-07	0
5682268000174	2017-02	1
11857898000135	2017-01	0
61186904000148	2017-01	0
19833115000195	2016-12	0
17147516000166	2017-05	0
15332985000120	2016-09	0
24629871000137	2017-01	0
4478315000108	2016-09	0
12130222000108	2017-01	0
